b1	b10	b11	b12	b13	b14	b15	b16	b17	b2	b4	b6	b7	b8	b9	a1	a10	a11	a12	a13	a14	a15	a16	a17	a2	a4	a6	a7	a8	a9	c1	c10	c11	c12	c13	c14	c15	c16	c17	c2	c4	c6	c7	c8	c9
24883455	366000	381000	288000	323000	472000	435000	343000	363000	429000	352000	393000	329000	263000	342000	362000	198000	343000	338000	246000	320000	331000	319000	359000	320000	333000	299000	303000	352000	350000	401000	506000	293000	395000	414000	355000	332000	316000	326000	346000	418000	410000	341000	405000	365000
77093	5040	23200	59200	11600	26600	7840	13900	12500	1420	1260000	39000	4410	1040	9810	2070	1410	5020	8990	6520	13100	1910	9860	13200	1450	67400	11500	6580	13600	46700	1290	6400	2180	4490	2710	2230	2130	6420	96100	11800	449000	2050	8750	1340	51200
1489	550000	20000	699000	40900	100000	2850	19200	187000	1580	961000	11000	3100	4800	178000	3730	206000	0	31100	16500	41300	0	3120	86100	3710	1050000	184000	0	2820	3060	6830	56200	5860	2770	6780	48800	1930	2260	73700	1650	990000	13600	4100	45700	6980
96177	69900	4570	343000	24900	12700	7860	5330	2570	11000	3140	10200	8690	10900	49000	2020	604000	6590	93200	20200	8350	9650	5100	2740	4990	4980	11100	141000	91800	44600	5170	22300	10900	1120000	2120000	28400	6510	582000	175000	17500	1270000	13800	126000	250000	22500
10250	326000	164000	210000	241000	143000	84400	82900	53500	28400	129000	143000	231000	74200	108000	6410	7010	68100	263000	488000	62500	44500	192000	34900	11500	194000	94800	93600	81400	86900	3020	108000	147000	275000	428000	58600	94500	440000	82800	8670	286000	84100	140000	20800	159000
8461	19400	69900	978000	23200	1720000	23200	11100	637000	62700	56200	75700	13300	167000	2590000	268000	3100	19400	36900	107000	491000	3250	41300	586000	18400	839000	576000	8410	10400	76500	34100	11300	448000	531000	2430000	803000	31600	155000	353000	34200	79500	10000	169000	9660000	38000
8427	5610	29800	13300	28400	68000	91500	53500	77000	97400	19700	39100	25500	63600	62600	486000	18700	24500	21800	44600	35100	26600	34000	11900	93300	21600	61700	46900	74400	43400	97400	82400	41500	29500	54700	18100	15600	85700	43900	37800	20800	11800	24000	40700	209000
99456	12400000	2290000	7410000	32500000	1180000	338000	6580000	4440000	639000	5390000	99700000	680000	14400000	8730000	9480000	6780000	286000	26700000	49300000	1030000	352000	806000	3720000	6070000	7560000	47000000	283000	16200000	42000000	31600000	6740000	672000	34700000	8560000	18900000	2640000	4720000	5170000	7510000	4130000	24300000	19100000	1500000	22600000
21872870	13600000	16700000	18200000	15900000	6530000	9250000	17300000	4250000	3440000	11800000	61900000	9590000	4830000	12300000	6600000	1780000	10300000	12000000	20800000	7250000	2800000	17300000	6220000	3320000	14200000	14400000	7570000	5520000	21800000	5900000	4760000	15700000	11300000	18100000	7330000	9310000	25000000	4250000	5480000	13100000	4990000	23300000	4810000	26600000
21	22400000	21100000	49100000	31800000	11400000	12000000	43500000	17000000	10100000	19900000	29600000	14200000	11500000	25600000	12600000	26200000	11500000	36500000	54800000	20700000	8180000	27200000	16900000	13100000	47900000	22200000	8970000	15400000	21700000	34500000	23700000	26000000	35100000	40700000	12700000	27700000	24200000	16800000	10700000	35100000	22500000	23900000	11500000	16300000
25137912	1180000	1050000	2290000	1040000	365000	335000	1760000	60400	25300	1430000	716000	471000	356000	1580000	199000	208000	269000	1090000	1960000	237000	29400	1370000	290000	37400	2200000	865000	350000	656000	258000	362000	593000	264000	341000	1550000	192000	266000	1590000	246000	56300	1100000	388000	974000	74000	1510000
228810	125000	469000	1210000	712000	91700	190000	738000	45300	24800	612000	746000	104000	42700	238000	8080	69100	55200	499000	1060000	175000	14200	328000	80300	6930	920000	265000	107000	188000	446000	139000	77600	162000	217000	711000	49600	120000	706000	10400	6470	216000	35400	250000	66500	18100
61205	8800	211000	31200	49300	5410	1530	8050	5180	2110	12100	5280000	9900	9400	3710	1860	1970	11700	9730	7100	5150	1640	4500	7250	3480	3040	2970	5090	1860	2550000	11700	5510	10600000	57600	184000	17500	1830	15600	430000	14400	29400	16700	88700	3630	1630000
91591	1880000	30900	21200	27000	8390	67100	17500	55600	13500	50100	7470	50200	22900	28000	78200	76900	25200	35800	150000	22800	97000	78400	32100	60700	30900	132000	786000	33600	1320000	34700	34900	1590000	8830	8750	29300	23300	9150	31500	26000	22400	11000	19600	7540	15800
1216	3740000	8420000	3920000	4510000	5190000	5540000	3630000	5910000	5830000	6190000	4310000	7540000	5750000	4240000	5020000	6710000	4830000	4240000	3710000	14400000	5340000	5560000	6220000	18100000	4440000	5000000	13000000	5450000	4560000	6410000	12100000	6230000	4150000	5160000	5460000	5680000	3420000	7400000	5650000	4540000	4590000	4570000	5670000	6020000
72200	1740000	7420000	2820000	1860000	1670000	470000	629000	86200	550000	1660000	1950000	519000	1040000	5220000	29500	371000	637000	2630000	1390000	840000	138000	482000	417000	61300	2910000	1350000	625000	4200000	5610000	17800	832000	3820000	5780000	3080000	1210000	2000000	2100000	2390000	53600	4500000	3310000	5940000	344000	511000
6926	913000	876000	4360000	538000	556000	135000	934000	55500	440000	812000	832000	105000	803000	1570000	8300	1020000	724000	2910000	1370000	1090000	186000	506000	1010000	121000	1210000	255000	66800	1040000	960000	44200	1300000	197000	1070000	500000	87200	499000	569000	279000	458000	218000	602000	4920000	166000	1580000
20849110	7330000	12000000	26700000	9270000	3980000	5880000	8650000	3780000	1330000	19700000	16900000	13100000	4200000	7020000	2070000	3140000	4530000	10300000	17000000	4160000	4010000	6860000	4770000	3040000	32600000	8230000	12400000	5250000	17900000	2740000	4550000	4940000	8120000	17300000	5050000	8630000	9570000	4950000	2390000	23100000	4090000	34300000	3350000	36800000
5280625	27100	7390000	14000	15100	9950	14200	25100	19200	18900	16200	1330000	24100	23600	47100	12100	2540000	17400	14800	77300	18000	12700	27100	30700	18900	47800	42300	23000	28200	25200	14500	12300	20900	144000	19200	5400	20000	36600	45600	10700	25800	12600	41900	11200	9180
5801	7.07e+06	1.61e+04	4.81e+06	7.45e+06	1.27e+05	1.02e+06	5.79e+06	1.58e+06	2.27e+05	3.50e+05	3.87e+07	5.05e+04	4.06e+07	5.63e+06	4.22e+06	4.15e+06	4.70e+05	1.31e+07	6.48e+06	1.82e+05	3.69e+04	1.37e+04	1.39e+06	8.89e+06	3.34e+06	1.15e+08	2.89e+05	6.90e+06	2.07e+07	8.19e+06	1.23e+06	1.72e+04	7.91e+07	4.33e+05	5.89e+06	1.42e+06	3.46e+05	2.91e+06	3.79e+06	2.28e+05	7.07e+06	1.98e+07	5.56e+05	1.19e+07
93225	19700000	5220000	15200000	1440000	2920000	3320000	2610000	657000	412000	3970000	1050000	862000	573000	1300000	216000	3570000	4660000	1300000	3210000	330000	262000	5820000	8000000	4630000	2450000	127000	258000	1530000	2790000	1220	820000	304000	326000	2430000	156000	1650000	2160000	8960000	2810000	2640000	117000	2200000	475000	2190000
5460151	3320000	2870000	4040000	3930000	3100000	1730000	3300000	2540000	614000	2550000	16700000	2320000	2150000	4210000	1440000	2020000	1540000	7430000	13900000	1800000	1270000	2820000	2860000	1100000	3660000	7600000	2190000	1820000	3370000	1270000	3010000	4170000	6420000	12700000	1960000	2470000	4240000	1370000	1740000	8410000	5440000	10500000	1420000	5650000
8051	543000	583000	552000	541000	499000	570000	1580000	609000	502000	575000	477000	588000	576000	536000	533000	558000	572000	574000	625000	563000	527000	598000	536000	276000	563000	581000	501000	514000	733000	597000	531000	502000	314000	558000	554000	518000	492000	589000	546000	513000	579000	516000	495000	492000
151011	3230000	848000	15700000	351000	937000	7970	27100000	459000	448000	955000	1700000	48600	440000	1600000	94100	6450000	75100	3240000	5000000	167000	13500	233000	183000	356000	2900000	1760000	188000	1020000	7750000	238000	2110000	365000	2190000	334000	84500	525000	396000	526000	52300	1770000	928000	630000	54200	7230000
54675827	4620000	2940000	6670000	4580000	2800000	1820000	5150000	1480000	1080000	4540000	6860000	2570000	2110000	4410000	965000	2040000	1570000	4960000	11100000	2180000	689000	2730000	2400000	1280000	5680000	2540000	1430000	990000	2970000	1290000	1600000	1620000	4280000	5460000	3170000	2780000	3970000	1690000	1600000	4160000	2040000	3760000	2080000	2320000
10785	1.63e+07	1.50e+07	7.05e+07	1.10e+07	1.30e+07	6.50e+06	1.58e+07	1.54e+07	6.52e+06	7.00e+07	5.11e+06	4.42e+06	6.24e+06	4.49e+07	5.62e+06	1.02e+07	7.14e+06	2.55e+07	1.81e+07	1.23e+07	1.76e+06	1.14e+07	1.65e+07	3.29e+06	1.23e+08	4.18e+07	4.19e+06	1.09e+07	1.58e+07	6.28e+06	5.74e+06	1.78e+07	2.53e+07	2.15e+07	1.75e+07	1.18e+07	2.11e+07	1.16e+07	3.48e+06	9.32e+07	1.22e+07	1.19e+07	6.16e+06	3.20e+07
