b1	b10	b11	b12	b13	b14	b15	b16	b17	b2	b4	b6	b7	b8	b9	a1	a10	a11	a12	a13	a14	a15	a16	a17	a2	a4	a6	a7	a8	a9	c1	c10	c11	c12	c13	c14	c15	c16	c17	c2	c4	c6	c7	c8	c9
443489	941000	757000	612000	858000	185000	671000	1140000	108000	383000	593000	7240000	494000	812000	1290000	66000	215000	310000	798000	1070000	228000	241000	1180000	15100	255000	411000	463000	242000	1010000	702000	44600	136000	1060000	1050000	464000	1460000	636000	4510000	146000	400000	783000	213000	816000	587000	319000
107754	8300000	6790000	20800000	320000	1290000	1580000	2340000	1180000	1260000	15000000	495000	58100	1350000	1860000	698000	1220000	6920000	18700000	1320000	1230000	1980000	6980000	716000	761000	2910000	11300000	689000	1350000	1130000	479000	652000	2200000	7380000	187000	1430000	9730000	11200000	6660000	1830000	15100000	971000	574000	4590000	9730000
9543071	1500	890	16200000	1250	968	657	809	767	826	2810	1140	1010	635	1280	664	644	1060	1500	0	818	660	754	695	562	851	766	637	846	0	618	546	926	800000	0	0	809	1380	982	625	1790	626	991	1600	949
11011465	276000	35700	631000	369000	242000	472000	5320000	18000	243000	131000	158000	208000	228000	119000	58000	17700	394000	4230000	3740000	361000	63300	2090000	37400	13400	260000	347000	151000	1080000	5080	2140	266000	627000	3140000	127000	197000	286000	545000	35800	23200	230000	59600	48100	44000	576000
5281160	706000	121000	11600000	164000	424000	749000	267000	3050000	99100	136000	452000	75600	132000	341000	119000	51600	54900	26700000	323000	152000	208000	1400000	76100	16500	374000	491000	81200	1000000	7000000	22400	1500000	171000	331000	198000	110000	178000	791000	44100	57100	150000	29500	126000	646000	291000
440341	6340	34100	31900	9440	92600	6740	14400	8180	8980	4610	10100	8180	5920	1950	1810	4350	1450	0	56200	3700	8360	2590	1390	1090	30400	2340	2930	7060	2830	0	0	4460	0	3190	22900	49200000	0	6930	1730	2400	3450	2880	2450	11200
5281760	33900000	16000000	51200000	21900000	10700000	18800000	20400000	106000	2620000	41100000	23100000	5890000	12600000	26100000	15900000	15300000	19800000	23400000	41800000	20000000	3580000	6280000	254000	4550000	29200000	23300000	1510000	19300000	30800000	18900000	7810000	18500000	32400000	23500000	7650000	19500000	41100000	128000	3610000	13100000	16900000	36700000	2910000	18300000
124021	8870	149000	23900	28000	8690	8140	6670000	216000	4120	2080	725000	51300	2250	109000	2320	8440	71700	71400	173000	2910	7280	162000	23300	828	17800	1250000	44600	8910	52100	14200	27200	6690	247000	7050	1920	639000	109000	32500	9540	15200	6430	33500	5510	11400
5280406	1870000	1520000	2470000	3090000	1380000	4060000	991000	1340000	801000	2490000	1380000	289000	442000	3210000	210000	1950000	840000	4780000	3170000	1430000	1480000	3090000	58600	603000	7170000	260000	94900	1130000	1200000	11300000	1540000	2090000	1530000	1610000	1980000	25500000	3660000	1810000	238000	4660000	254000	3860000	517000	1680000
14132344	2360000	6560000	1170000	462000	562000	144000	1320000	365000	605000	495000	1150000	161000	603000	18900000	115000	323000	252000	268000	462000	362000	67300	515000	66200	59100	1190000	11100000	173000	287000	713000	836000	335000	537000	609000	385000	356000	195000	6100000	37600000	126000	547000	1140000	334000	78700	609000
17533	1900000	807000	172000	1110000	654000	74000	761000	19700000	167000	290000	33300000	564000	198000	50400	193000	175000	203000	308000	542000	6180000	533000	52500	7690000	3220000	127000	217000	24000000	394000	5790000	114000	91800	5040000	151000	67800	121000	471000	943000	243000	7020000	118000	0	1070000	724000	9090000
7254	1.34e+08	1.67e+08	1.49e+08	1.27e+08	1.24e+08	1.49e+08	1.33e+08	1.50e+08	1.35e+08	1.30e+08	1.59e+08	1.29e+08	1.28e+08	9.43e+07	1.20e+08	1.28e+08	1.13e+08	1.17e+08	1.65e+08	1.33e+08	1.31e+08	1.06e+08	1.13e+08	1.36e+08	1.69e+08	1.21e+08	1.54e+08	1.43e+08	1.43e+08	1.16e+08	1.13e+08	1.35e+08	1.24e+08	1.44e+08	1.57e+08	1.54e+08	1.23e+08	1.60e+08	1.60e+08	1.39e+08	9.34e+07	1.77e+08	1.42e+08	8.84e+07
221812	27600	735000	3200000	776000	3240000	33000	3570000	308000	1030000	422000	3300000	5730	14900	1530000	17200	313000	352000	1700000	98500	608000	59500	308000	7910	23600	201000	177000	224000	153000	7050000	22500	1690000	243000	8770000	11100000	2630000	421000	2810000	209000	529000	4600000	3360000	4490000	0	3310000
1493	719000	2040000	1950000	1230000	655000	683000	634000	573000	281000	3260000	7390000	347000	231000	858000	216000	2180000	425000	4820000	10900000	168000	518000	1350000	636000	2620000	5570000	1050000	412000	1150000	4670000	643000	1770000	1380000	1330000	6210000	145000	3360000	340000	884000	2710000	3300000	239000	3550000	438000	5060000
439541	243000	545000	692000	431000	80900	128000	189000	123000	115000	62000	570000	44400	86400	1100000	29600	81200	69500	414000	237000	85800	58900	32600	68700	27800	423000	397000	22400	239000	195000	90700	249000	128000	1630000	1400000	62200	612000	622000	3920000	324000	444000	658000	454000	297000	449000
13891	1700000	1090000	1460000	2050000	2540000	796000	4170000	2610000	1200000	1800000	41200000	1550000	1300000	802000	1080000	520000	2280000	2460000	2900000	369000	520000	695000	3100000	1150000	5520000	4840000	538000	811000	4240000	1310000	5790000	1500000	74000000	37700000	1420000	44900000	49400000	37100000	5110000	65000000	1140000	27800000	41100000	31600000
439852	9860	76900	54400	20700	1040000	12600	4010000	1720000	405000	69600	42300	38500	55900	17900	4140	21300	20300	30800	51000	21700	5170	19200	10700	4160	10300	111000	37600000	62600	29500	114000	29600	266000	11100	235000	8250	25000	46300	121000	4760	148000	52500	44000	6160	109000
439287	3150000	2610000	4310000	3490000	1990000	3670000	4120000	519000	914000	3810000	1940000	876000	917000	3400000	591000	348000	975000	1320000	4830000	934000	990000	2620000	211000	358000	5020000	2390000	800000	1440000	919000	1210000	2430000	2170000	1270000	5640000	930000	3460000	2240000	3130000	922000	1400000	598000	954000	431000	972000
6336010	2450	1460	4140	3860	1750	2480	6340	1100	3280	9150	10700	1330	2070	18600000	391	1190	995	16100	2380	633	737	1090	694	637	3180	2540	2390	3730	2250	692	1410	2660	2260	2070	1340	2480	2080	1380	1140	1890	290000	2440	999	3410
5458468	3.70e+07	5.42e+07	1.08e+08	1.10e+08	4.45e+07	3.70e+07	3.09e+07	3.19e+07	6.20e+07	5.62e+07	2.23e+08	6.83e+07	1.10e+08	1.35e+07	1.66e+08	1.54e+07	2.75e+07	2.06e+08	1.27e+08	4.31e+07	3.42e+07	5.03e+07	4.41e+07	3.20e+07	9.43e+08	2.10e+07	4.68e+07	1.50e+08	1.70e+08	1.42e+08	2.45e+07	7.25e+07	1.18e+08	1.14e+08	6.07e+07	5.51e+07	1.32e+08	5.96e+07	4.46e+07	1.07e+08	1.04e+07	1.01e+08	2.57e+07	8.12e+07
11954071	3480000	4750	90200	4410000	3430	925000	33100	117000	0	287000	24700000	103000	758000	2070000	460000	14000	8850	11700000	350000	3490000	984	23000	55300	151000	5620000	612000	1390	967000	10000000	1980000	4740	19700	1320000	85100	685000	1670	98500	27700	85900	1720000	369000	478000	1500	1560000
955	944000	1010000	1230000	355000	18700000	865000	511000	104000	775000	860000	512000	800000	532000	1170000	480000	621000	936000	713000	479000	1250000	434000	334000	40800	551000	575000	1030000	1100000	605000	890000	521000	714000	1230000	1330000	1230000	12900000	9380000	836000	152000	421000	891000	935000	1710000	512000	365000
439435	33300000	35100000	55100000	76900000	29200000	26900000	38400000	15500000	9540000	28300000	43300000	24600000	15200000	26300000	10300000	4000000	20200000	44600000	92200000	27600000	10800000	24600000	9020000	4740000	39100000	28600000	11000000	21600000	24500000	5170000	11400000	21200000	36000000	58400000	33900000	20700000	50200000	19100000	9360000	32500000	15500000	31700000	16700000	7180000
5281860	16600000	16500000	21600000	23700000	11600000	12300000	17700000	4990000	2980000	14900000	12500000	12400000	7320000	12000000	1740000	6880000	8840000	23300000	27000000	10500000	3920000	12800000	2750000	2620000	19000000	13400000	6580000	8870000	10400000	1640000	6870000	13600000	15100000	25400000	14000000	14200000	22500000	5750000	4160000	16300000	7610000	17600000	4960000	10400000
14345197	2.72e+08	3.14e+08	3.09e+08	3.25e+08	2.84e+08	3.07e+08	3.00e+08	3.02e+08	2.70e+08	3.06e+08	2.93e+08	2.97e+08	3.02e+08	2.85e+08	2.71e+08	3.07e+08	2.97e+08	2.90e+08	3.15e+08	2.88e+08	2.97e+08	3.13e+08	2.75e+08	2.75e+08	3.05e+08	3.15e+08	2.82e+08	2.83e+08	2.92e+08	2.89e+08	2.76e+08	3.11e+08	2.87e+08	3.15e+08	3.22e+08	3.12e+08	3.01e+08	2.95e+08	3.12e+08	3.05e+08	2.85e+08	3.07e+08	2.62e+08	2.69e+08
5280417	422000	336000	262000	585000	247000	329000	260000	63100	27100	444000	122000	188000	83500	131000	96500	218000	6330000	7910000	765000	137000	197000	314000	97300	183000	321000	97000	103000	342000	9570000	81600	269000	379000	187000	97200	266000	617000	363000	34800	232000	281000	258000	162000	30800	394000
16048618	32400000	531000	2320000	1930000	96200	4620	296000	35000	10400	239000	12000000	41400	34100	9320000	178000	14900000	546000	12800	652000	1400000	9130	35100	3980	3910	3790000	37200	1500	22700	527000	61000	4670000	2290000	6020	1400000	30000	203000	32100	194000	8030000	22800	124000	1050000	66500	2370000
54683777	1.74e+08	1.53e+08	1.48e+08	1.72e+08	1.80e+08	1.85e+08	1.70e+08	1.69e+08	1.81e+08	1.46e+08	1.74e+08	1.86e+08	1.71e+08	1.64e+08	1.82e+08	1.61e+08	1.82e+08	1.63e+08	1.72e+08	1.78e+08	1.91e+08	1.76e+08	1.86e+08	1.83e+08	1.62e+08	1.80e+08	1.89e+08	1.68e+08	1.82e+08	1.85e+08	1.83e+08	1.55e+08	1.68e+08	1.58e+08	1.70e+08	1.58e+08	1.72e+08	1.56e+08	1.80e+08	1.71e+08	1.86e+08	1.88e+08	1.88e+08	1.80e+08
151066	78500	9810	45700	658000	8110	258000	663000	10900	26600	76800	67800	114000	261000	45200	4100	4430	21700	92100	58200	7440	83800	65600	1200	23500	15200	55200	222000	553000	19800	83500	65200	34400	336000	504000	45000	726000	4300000	3970	18800	20400	25200	340000	10900	45400
5459790	169000	150000	116000	146000	546000	512000	193000	77300	462000	181000	152000	817000	689000	197000	176000	352000	360000	156000	128000	281000	649000	160000	38500	426000	226000	247000	16700000	320000	249000	128000	691000	349000	325000	123000	643000	230000	88600	61900	253000	71300	287000	81500	306000	47200
1549098	342000	1190000	959000	958000	38100	299000	723000	421000	109000	490000	1060000	509000	409000	352000	112000	15400	59200	613000	1620000	593000	109000	659000	204000	127000	461000	629000	130000	28300	462000	84400	140000	485000	672000	1160000	269000	153000	844000	628000	583000	427000	189000	1290000	154000	959000
66095	7130000	1800000	7320000	7020000	4790000	1460000	6750000	490000	781000	1500000	842000	1020000	564000	1270000	86500	767000	368000	6470000	10800000	3420000	1400000	5450000	148000	258000	1730000	2140000	496000	588000	1330000	14100	1140000	5710000	9830000	6510000	5630000	1860000	10300000	582000	263000	4990000	4540000	4880000	1080000	976000
81399	7080000	9060000	2220000	3540000	10700000	6290000	3300000	1110000	18500000	18200000	1940000	4310000	11100000	5890000	18500000	30300000	17900000	1850000	2330000	21200000	11400000	1550000	2400000	18200000	2040000	8970000	26800000	1150000	1990000	16800000	14100000	8290000	4630000	3650000	4610000	2860000	1940000	1140000	8430000	1570000	1710000	2710000	10300000	4140000
240071	55500	323000	24500000	491000	44800	163000	91700	191000	271000	327000	963000	354000	640000	12800	902000	64800	647000	1100000	706000	110000	137000	247000	242000	126000	3980000	80600	161000	789000	932000	842000	85800	330000	12500000	671000	279000	344000	466000	410000	254000	668000	5170	597000	1090000	359000
11954176	3900000	15000000	9090000	13800000	16600000	13100000	13800000	13200000	23500000	9840000	8940000	14000000	13300000	8550000	8360000	9910000	11600000	3600000	15400000	9020000	9520000	13200000	8120000	8370000	9390000	9100000	11800000	13800000	8650000	8850000	8630000	9780000	8620000	14200000	16100000	28800000	16000000	9120000	9350000	9370000	9230000	13100000	8370000	13100000
7034	34200000	13200000	3010000	1050000	771000	305000	1560000	85600	152000	181000	13500000	217000	160000	2660000	199000	112000	493000	1050000	856000	585000	66300	1630000	262000	96900	945000	661000	29500	677000	1400000	123000	676000	504000	633000	21700000	239000	1330000	18500000	12800000	461000	1170000	1570000	1520000	1190000	1250000
6857424	139000	207000	476000	55500	14400000	67200	337000	205000	159000	11400000	105000	105000	65700	132000	164000	247000	763000	8200000	6140000	799000	138000	472000	138000	674000	543000	499000	108000	615000	655000	383000	599000	405000	414000	1010000	162000	398000	489000	471000	189000	21600000	641000	497000	42300	388000
130	6990000	7300000	30700000	8130000	2310000	1920000	3380000	1670000	1060000	4290000	10700000	4780000	1600000	5170000	564000	1680000	1330000	6160000	9500000	2340000	586000	3350000	1240000	158000	6880000	3340000	1210000	3880000	5080000	485000	2620000	4530000	5430000	31300000	3530000	2950000	7810000	33200000	4470000	7030000	3130000	7820000	1360000	5450000
5280847	27100	48500	55200	78100	538000	8330	53300	163000	24100	899000	101000	60300	24800	215000	9010	8500	169000	2570000	155000	307000	1530	59200	74900	1100	1170000	92900	10500	132000	65800	44500	35800	7700	306000	399000	141000	85100	98300	28800	33100	2820000	47200	91100	21600	88000
65115	1210000	2590000	10200000	276000	34700	146000	452000	29100	148000	15600	1060000	21000	285000	746000	5670	2040000	98400	1790000	173000	101000	31200	37400	23700	92300	4590000	1700000	110000	1280000	261000	34000	979000	122000	737000	32100	15400	438000	314000	344000	42800	108000	186000	298000	122000	311000
18666812	343000	221000	484000	245000	116000	15000	144000	104000	62100	358000	611000	1090000	107000	256000	112000	274000	198000	37200	398000	179000	30400	695000	83600	12400	1480000	691000	27200	63200	126000	128000	118000	186000	56900	555000	74500	73900	2460000	302000	650000	627000	555000	429000	183000	217000
150856	43900	113000	2160000	1030000	284000	119000	298000	226000	238000	21500	146000	298000	678000	68900	6600	126000	130000	607000	231000	788000	223000	95200	305000	129000	81300	439000	19500	161000	63300	294000	192000	211000	835000	206000	102000	467000	527000	1320000	382000	21100	311000	342000	190000	30900
446834	1650000	1720000	1370000	3520000	1050000	2030000	571000	10400000	873000	2010000	4410000	1650000	590000	1830000	579000	357000	412000	2210000	4520000	526000	106000	1200000	303000	352000	863000	1590000	720000	1170000	2480000	280000	702000	1230000	3130000	3140000	745000	1330000	2420000	2840000	416000	1760000	1520000	2160000	303000	934000
440189	721000	660000	424000	577000	1090000	1150000	727000	1340000	1210000	855000	383000	1100000	1200000	280000	1350000	300000	1130000	630000	691000	1060000	1500000	1090000	1020000	1430000	675000	919000	1360000	698000	875000	1510000	1090000	879000	558000	217000	1100000	905000	572000	769000	1230000	629000	1140000	626000	1120000	739000
443071	42200	0	116000	0	1200	818	165000	0	2820	279000	0	1020	0	3340	3100000	1470	0	1980	15900	0	0	267000	307	107000	1510000	1720	0	31800	2800	32300000	35600000	987	4200000	4830000	714000	34700000	42800000	29900000	35800000	4430000	10800000	10600000	2240000	3500000
25010757	1990000	291000	1960000	226000	419000	141000	615000	445000	38700	1750000	1220000	346000	36400	855000	14900	706000	11600	447000	505000	560000	24900	84300	309000	104000	2170000	967000	152000	362000	168000	14800	267000	18100	143000	73700	160000	703000	496000	78900	14700	230000	140000	190000	79700	103000
439990	780000	283000	1430000	356000	283000	52400	601000	179000	129000	703000	31900000	67000	40800	1060000	522000	353000	233000	12400000	10900000	294000	244000	914000	187000	156000	14700000	148000	21300	568000	1110000	931000	729000	1240000	4120000	4220000	231000	1460000	1160000	857000	184000	3710000	1090000	1640000	510000	16500000
5280719	344000	24800	8080000	2650000	263000	291000	7100000	14000	1260000	141000	147000	324000	180000	58200	25100	36200	948000	5640000	7950000	278000	8320	1480000	2730	1710	256000	492000	19300	1020000	25000	5480	229000	230000	7970000	296000	63800	153000	476000	7370	55000	249000	170000	43500	19100	295000
439780	1.01e+08	1.40e+06	6.29e+05	1.52e+06	4.91e+03	2.22e+04	5.80e+05	1.60e+04	3.32e+05	2.83e+05	3.35e+08	1.47e+04	1.56e+04	8.07e+06	5.83e+05	4.28e+07	1.01e+04	2.46e+05	1.74e+05	2.09e+04	3.61e+03	1.47e+04	4.90e+04	3.49e+03	2.96e+05	1.11e+05	2.45e+04	1.06e+07	2.57e+07	5.82e+04	1.26e+07	8.15e+07	3.96e+05	3.35e+05	1.70e+04	8.14e+04	2.80e+05	6.04e+04	9.19e+04	1.11e+05	1.27e+05	3.26e+04	2.77e+04	5.38e+08
445937	9710	4840	3910	1320	832	688	1250	899	0	0	22500	2990	12300	1410	0	828	1530	0	3780	0	0	2960	0	0	1590	1930	0	1200	2110	0	0	1600	1510	0	1540	1840	4880	0	0	2720	1560	0	3110000	2100
5280569	7380000	248000	826000	666000	592000	207000	249000	442000	240000	1740000	551000	583000	257000	2250000	118000	1350000	71300	384000	403000	493000	19900	300000	97300	89200	1700000	1720000	249000	195000	14000000	172000	1030000	383000	309000	403000	577000	35400	461000	226000	77500	2600000	203000	712000	1500000	267000
51399546	27900000	28800000	12100000	25000000	18700000	20700000	40900000	11500000	33000000	50800000	84900000	16200000	9800000	3310000	5920000	3970000	22200000	34600000	50100000	8210000	3600000	26000000	6230000	1490000	9160000	23700000	9100000	28400000	27400000	5930000	12700000	25800000	22700000	9310000	21300000	16500000	11600000	4190000	3430000	6830000	9460000	43200000	3870000	13300000
440869	17300000	12300000	19600000	23300000	12000000	14000000	14000000	5870000	10400000	12500000	27900000	11000000	8170000	93300000	14400000	4450000	8540000	22900000	33500000	11600000	5920000	13900000	5270000	4430000	20500000	20900000	7330000	8340000	13200000	10600000	6220000	10500000	36000000	34100000	13500000	18000000	29500000	14100000	10200000	31700000	7920000	34600000	12300000	15600000
3016713	6910000	2260000	18100000	4040000	2340000	2680000	5300000	663000	986000	22100000	10200000	2850000	1520000	3020000	750000	1980000	1410000	3940000	5480000	2510000	1530000	21300000	601000	922000	16000000	4130000	1610000	1680000	3800000	709000	2160000	3880000	6950000	9440000	2300000	14200000	5610000	882000	855000	5140000	1830000	5040000	1700000	5670000
5280696	78300000	5360000	17900000	13900000	5960000	2840000	893000	14000000	970000	4210000	11400000	3130000	1110000	12200000	3170000	1380000	1560000	10300000	10600000	3720000	767000	1390000	587000	818000	2230000	7910000	4300000	4250000	8680000	705000	7280000	4860000	17900000	15900000	8810000	8550000	17800000	2260000	709000	2260000	7470000	9770000	5760000	1300000
443337	6740000	15600000	26000000	17600000	8890000	2310000	9680000	8100000	7430000	76800000	13500000	1770000	2380000	17600000	7510000	12000000	1750000	26900000	14200000	1370000	873000	1220000	498000	395000	20400000	5510000	9010000	14100000	2030000	15100000	5530000	14300000	15600000	13700000	1660000	9640000	3220000	8770000	1850000	7730000	7040000	8280000	822000	13500000
155942	3.77e+07	4.34e+07	7.91e+07	8.10e+07	2.92e+07	3.13e+07	4.61e+07	1.94e+07	3.56e+07	4.76e+07	7.63e+07	2.43e+07	2.20e+07	1.25e+08	1.77e+07	2.48e+07	2.31e+07	8.35e+07	5.84e+07	5.60e+07	1.66e+07	3.17e+07	8.47e+05	3.26e+06	6.70e+07	2.91e+07	1.08e+08	5.83e+07	2.73e+07	1.59e+07	1.82e+07	4.82e+07	4.39e+07	4.03e+07	3.29e+07	1.34e+08	5.38e+07	6.62e+06	4.74e+06	2.15e+07	2.56e+07	5.55e+07	1.12e+07	3.06e+07
46173889	46800	386000	680000	203000	33000	311000	198000	48600	56600	984000	60200	53600	209000	11700	131000	184000	4910000	4590000	201000	176000	74800	198000	72800	26500	87200	351000	215000	17400	1030000	196000	50800	158000	103000	73700	172000	528000	50100	210000	44600	20900	29400	27900	14200	43600
439866	1320000	219000	656000	526000	281000	136000	704000	102000	273000	94400	32100000	420000	731000	694000	136000	144000	205000	576000	1880000	866000	68900	720000	71000	141000	1150000	80700	77200	176000	1230000	166000	207000	3580000	202000	932000	276000	122000	1050000	752000	399000	65900	78700	122000	24300	5860000
115064	1870000	189000	687000	2050000	250000	311000	532000	621000	77600	274000	85000	246000	76400	314000	912000	298000	228000	310000	595000	1410000	141000	394000	89800	28300	377000	769000	229000	148000	467000	579000	357000	67300	394000	452000	176000	304000	464000	574000	17500	492000	145000	315000	301000	734000
12235228	5010000	7130000	6890000	6400000	5060000	6010000	5760000	6730000	5260000	7020000	5020000	5470000	6590000	5390000	5020000	6750000	5920000	5050000	6050000	5650000	5700000	6670000	5060000	5010000	5890000	6640000	5310000	4960000	5220000	5380000	5010000	6850000	4980000	6930000	6370000	6830000	5880000	7040000	6300000	5600000	5060000	5990000	5000000	5080000
46878410	0	0	3340	0	0	0	3440	0	1290	0	0	0	1970	0	0	974	0	0	0	2440	961	2090	0	797	2160	0	0	2970	0	714	27900	1560	0	3460	2180	1640000	0	0	0	0	0	0	0	0
46173811	6740000	4300000	15400000	5520000	12100000	5800000	10100000	5710000	2650000	13900000	11100000	6210000	676000	9520000	3180000	2870000	1050000	9450000	9000000	5250000	2790000	1170000	1330000	962000	15300000	5420000	3610000	2350000	8430000	3340000	2060000	1170000	10100000	14900000	6260000	2950000	8010000	7240000	21500000	10000000	1530000	16100000	704000	6980000
17676	1080	1640	5070	16100	49900	1310	1870	959	2910	9080	3030	3840	1260	91000	2840	56800	2210	20500	20300	4150	6100	4560	10000	638	13600	1130	1090	2480	77100	5550	6130	1580	96800	7360	113000	116000	1090	6320	2670000	6020	4740	55100	774	10400
11349616	17000000	246000	13200000	18900000	417000	215000	22500	44000	63600	238000	2620000	31800	34900	1990000	495000	16600000	84800	39500	535000	12400000	18700	21700	13200	46000	486000	161000	3290	5080	1070000	80500	994000	13900000	20000	276000	286000	491000	30700	196000	20200000	171000	692000	1280000	33100	1860000
167937	28400	752000	444000	1060000	271000	65800	121000	165000	4570	85800	51100	12700	160000	39700	5100	383000	28600	649000	332000	386000	0	2570	78200	0	356000	132000	2110	1160000	10000	0	259000	489000	266000	3150000	241000	1610000	257000	517000	448000	279000	86600	1580000	3150	55800
89644	91700	64100	24600000	58600	42900	54200	62900	60500	13300	43100	81400	28000	100000	101000	7590	14800	21800	14100	61000	22800	679	84600	6950	5900	106000	107000	23900	37200	126000	15400	13700	18800	1940000	39400	6310	4490	64000	41000	82600	137000	9960	34400	97000	66100
114833	6.24e+07	5.33e+07	1.21e+08	1.33e+08	5.23e+07	5.76e+07	6.91e+07	4.68e+07	1.52e+07	1.88e+07	1.46e+08	4.31e+07	5.83e+07	5.00e+07	1.40e+07	6.52e+06	3.88e+07	1.21e+08	2.25e+08	4.47e+07	1.37e+07	5.00e+07	4.22e+07	1.29e+07	2.04e+07	6.49e+07	2.44e+07	6.50e+07	5.51e+07	7.87e+06	1.18e+07	3.12e+07	1.30e+08	1.43e+08	6.26e+07	3.66e+07	9.58e+07	4.22e+07	2.13e+07	3.08e+07	1.05e+07	7.76e+07	6.93e+07	6.00e+07
54693278	1860	7040	24200	1300	92300	0	0	1090	45100	6560	1450	646	0	592	683	0	572	4210000	935	198000	0	563	0	0	37900	1020	6840	0	2160	14200	1260	418000	17400	7340	3040	0	0	406	706	4220	1130	3460	0	36700
115121	309000	284000	653000	169000	10400000	347000	207000	743000	539000	21000000	76400	328000	333000	331000	181000	129000	114000	341000	568000	300000	396000	376000	314000	135000	24000000	291000	213000	91700	197000	429000	165000	376000	418000	138000	739000	202000	395000	3410000	161000	22400000	222000	93600	126000	153000
145858	0	0	0	0	0	0	1750	1120	0	0	5540	0	0	0	0	938	3350	2010	4580	0	0	0	0	0	0	0	0	0	1780	0	0	169000	2220000	81600	0	580000	12500000	1350	317000	0	600000	0	256000	0
56928084	388000	401000	581000	746000	275000	1010000	227000	272000	197000	564000	211000	5590	68700	733000	46500	392000	135000	1090000	658000	313000	332000	536000	11200	160000	1810000	96300	5450	144000	259000	352000	344000	376000	3830000	2330000	522000	6040000	892000	444000	284000	929000	28200	958000	121000	605000
442418	18000000	1590000	5710000	8080000	504000	1420000	6220000	818000	2600000	3820000	7840000	1150000	783000	6160000	374000	512000	929000	1780000	8840000	595000	678000	4420000	584000	483000	8240000	11200000	882000	2150000	4820000	686000	1840000	1930000	1590000	8360000	897000	5800000	31700000	1310000	1430000	5840000	4630000	2100000	1420000	1180000
442147	35000	26600	11900	197000	10100	24800	31400	15600	30900	1300000	79700	23700	102000	33400	87100	4750	3720	13900000	116000	29000	10900	310000	1190	4000	13000	9210	11900	77800	47700	67000	672000	176000	130000	11600	6920	72600	40300	309000	1730	17800	24000	418000	14200	14400
54675759	2.38e+08	3.14e+08	4.44e+08	3.58e+08	2.44e+08	2.76e+08	4.52e+08	4.15e+08	1.46e+08	4.33e+08	1.90e+09	3.07e+08	1.52e+08	3.17e+08	1.42e+08	7.36e+07	2.27e+08	3.37e+08	4.63e+08	2.88e+08	1.20e+08	3.65e+08	2.70e+08	1.26e+08	5.50e+08	3.49e+08	4.39e+08	1.60e+08	6.30e+08	1.18e+08	9.03e+07	2.93e+08	3.69e+08	3.39e+08	2.55e+08	2.34e+08	5.66e+08	2.60e+08	2.11e+08	5.89e+08	2.04e+08	4.68e+08	1.47e+08	5.22e+08
442255	997	6850	9860	2010	495	653	1090	570	643	941	2840	2320	952	3600000	796	1040	654	2160	1710	3770	740	531	782	484	12200	7910	0	0	1190	620	1420	4810	1900	1450	823	4860	36100	1100	551	1550	1180000	1880	0	804
6441870	2800000	1160000	10400000	2050000	1040000	680000	1360000	420000	379000	947000	2930000	796000	1160000	3530000	130000	5160000	1940000	3460000	2100000	1920000	372000	229000	335000	200000	6590000	1360000	343000	1090000	2230000	219000	3260000	1390000	1610000	1650000	1040000	441000	1160000	5240000	214000	1080000	1300000	1180000	370000	1250000
84298	25100	4730000	1590000	132000	44900	76600	335000	236000	96600	18100000	1100000	138000	35300	59700	2020	10100	61600	345000	595000	119000	7820	277000	78900	10300	205000	467000	525000	51200	475000	12200	172000	380000	944000	1070000	67100	237000	341000	229000	62900	763000	238000	451000	147000	164000
71307451	466000	83300	1150000	151000	738000	93500	145000	221000	101000	290000	1090000	267000	177000	350000	758000	309000	295000	480000	489000	294000	45000	329000	504000	77200	9100000	89700	247000	312000	421000	2370000	269000	270000	520000	253000	347000	797000	206000	378000	11600000	79200	119000	922000	85200	933000
91458	391000	757000	573000	1850000	157000	238000	4710000	22800	1660000	322000	304000	89200	482000	10800000	16900	260000	11300	417000	525000	40900	311000	191000	31700	5300	295000	232000	75600	9280000	132000	5160	715000	9020000	140000	672000	88800	625000	605000	111000	89100	242000	412000	226000	152000	306000
17531	33300	52100	77400	103000	83200	31800	102000	14800	59600	10100000	51000	103000	74200	59900	1490000	2640	51300	81000	110000	90100	22200	265000	27000	30100	10500000	16000	60100	146000	30500	7050000	1310000	60900	26400000	18100000	1220000	1150000	13700000	2930000	3640000	15400000	5130000	17300000	135000	21900000
3034285	66900	213000	655000	825000	46900	4930	386000	73600	83900	425000	318000	212000	15000	67800	22500	44000	48300	47800	279000	45700	61800	118000	10900	43300	13300	77000	18000	370000	12400	43100	25400	22500	1370000	43500	60800	265000	1500000	223000	23500	91500	182000	297000	9660	63600
65958	1410000	1500000	3270000	1300000	368000	531000	5810000	400000	488000	558000	1110000	4990000	516000	11800000	259000	543000	528000	2620000	1030000	563000	164000	5940000	1020000	115000	12000000	159000	262000	2760000	210000	223000	1600000	14600000	1050000	950000	194000	1180000	21700000	497000	195000	5310000	1520000	8540000	290000	867000
16007	72900	15700	16500	36200	13700	22400000	19700	7590	6580	3950	25300000	18100000	18400	10900	12500	12700	24800	14900	94900	46700	8340000	102000	31400	16700000	62700	26400	29300	7110	21800	5740	27300000	4730	29500	40000	65500	8160	41600	2900	9260	28200	38700	5360	7560	30900
